Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2000,1,17,1,1943,1932,2148,2153,HP,613,N150AW,245,261,222,-5,11,ATL,PHX,1587,6,17,0,NA,0,NA,NA,NA,NA,NA
2000,1,18,2,1932,1932,2153,2153,HP,613,N168AW,261,261,238,0,0,ATL,PHX,1587,8,15,0,NA,0,NA,NA,NA,NA,NA
2000,1,19,3,1935,1932,2210,2153,HP,613,N168AW,275,261,243,17,3,ATL,PHX,1587,7,25,0,NA,0,NA,NA,NA,NA,NA
2000,1,20,4,1951,1932,2214,2153,HP,613,N168AW,263,261,227,21,19,ATL,PHX,1587,4,32,0,NA,0,NA,NA,NA,NA,NA
2000,1,21,5,1930,1932,2148,2153,HP,613,N323AW,258,261,238,-5,-2,ATL,PHX,1587,6,14,0,NA,0,NA,NA,NA,NA,NA
2000,1,23,7,1955,1932,2232,2153,HP,613,N165AW,277,261,246,39,23,ATL,PHX,1587,8,23,0,NA,0,NA,NA,NA,NA,NA
2000,1,24,1,1947,1932,2230,2153,HP,613,N167AW,283,261,240,37,15,ATL,PHX,1587,5,38,0,NA,0,NA,NA,NA,NA,NA
2000,1,25,2,1932,1932,2157,2153,HP,613,N308AW,265,261,248,4,0,ATL,PHX,1587,6,11,0,NA,0,NA,NA,NA,NA,NA
2000,1,26,3,2000,1932,2232,2153,HP,613,N308AW,272,261,230,39,28,ATL,PHX,1587,4,38,0,NA,0,NA,NA,NA,NA,NA
2000,1,27,4,1935,1932,2148,2153,HP,613,N327AW,253,261,240,-5,3,ATL,PHX,1587,5,8,0,NA,0,NA,NA,NA,NA,NA
2000,1,28,5,2005,1932,2237,2153,HP,613,N329AW,272,261,253,44,33,ATL,PHX,1587,5,14,0,NA,0,NA,NA,NA,NA,NA
2000,1,30,7,1942,1932,2203,2153,HP,613,N331AW,261,261,239,10,10,ATL,PHX,1587,6,16,0,NA,0,NA,NA,NA,NA,NA
2000,1,31,1,1945,1932,2152,2153,HP,613,N331AW,247,261,225,-1,13,ATL,PHX,1587,6,16,0,NA,0,NA,NA,NA,NA,NA
2000,1,2,7,2105,1935,2313,2145,HP,615,N804AW,248,250,232,88,90,ATL,PHX,1587,5,11,0,NA,0,NA,NA,NA,NA,NA
2000,1,3,1,2034,1935,2313,2145,HP,615,N802AW,279,250,258,88,59,ATL,PHX,1587,3,18,0,NA,0,NA,NA,NA,NA,NA
2000,1,4,2,1010,826,1219,1039,HP,2027,N624AW,249,253,226,100,104,ATL,PHX,1587,4,19,0,NA,0,NA,NA,NA,NA,NA
2000,1,5,3,827,826,1047,1039,HP,2027,N651AW,260,253,230,8,1,ATL,PHX,1587,9,21,0,NA,0,NA,NA,NA,NA,NA
2000,1,6,4,826,826,1057,1039,HP,2027,N633AW,271,253,249,18,0,ATL,PHX,1587,4,18,0,NA,0,NA,NA,NA,NA,NA
2000,1,7,5,831,826,1100,1039,HP,2027,N651AW,269,253,252,21,5,ATL,PHX,1587,4,13,0,NA,0,NA,NA,NA,NA,NA
2000,1,10,1,935,826,1150,1039,HP,2027,N633AW,255,253,239,71,69,ATL,PHX,1587,4,12,0,NA,0,NA,NA,NA,NA,NA
2000,1,11,2,835,826,1045,1039,HP,2027,N634AW,250,253,220,6,9,ATL,PHX,1587,12,18,0,NA,0,NA,NA,NA,NA,NA
2000,1,12,3,826,826,1100,1039,HP,2027,N643AW,274,253,211,21,0,ATL,PHX,1587,38,25,0,NA,0,NA,NA,NA,NA,NA
2000,1,13,4,843,826,1052,1039,HP,2027,N638AW,249,253,222,13,17,ATL,PHX,1587,6,21,0,NA,0,NA,NA,NA,NA,NA
2000,1,14,5,834,826,1049,1039,HP,2027,N635AW,255,253,222,10,8,ATL,PHX,1587,6,27,0,NA,0,NA,NA,NA,NA,NA
2000,1,17,1,826,826,1043,1039,HP,2027,N620AW,257,253,210,4,0,ATL,PHX,1587,24,23,0,NA,0,NA,NA,NA,NA,NA
2000,1,18,2,950,826,1154,1039,HP,2027,N650AW,244,253,227,75,84,ATL,PHX,1587,7,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,19,3,858,826,1110,1039,HP,2027,N631AW,252,253,226,31,32,ATL,PHX,1587,5,21,0,NA,0,NA,NA,NA,NA,NA
2000,1,20,4,826,826,1058,1039,HP,2027,N641AW,272,253,236,19,0,ATL,PHX,1587,4,32,0,NA,0,NA,NA,NA,NA,NA
2000,1,21,5,833,826,1053,1039,HP,2027,N628AW,260,253,229,14,7,ATL,PHX,1587,7,24,0,NA,0,NA,NA,NA,NA,NA
2000,1,24,1,844,826,1052,1039,HP,2027,N628AW,248,253,235,13,18,ATL,PHX,1587,8,5,0,NA,0,NA,NA,NA,NA,NA
2000,1,25,2,846,826,1053,1039,HP,2027,N808AW,247,253,230,14,20,ATL,PHX,1587,3,14,0,NA,0,NA,NA,NA,NA,NA
2000,1,26,3,856,826,1131,1039,HP,2027,N633AW,275,253,246,52,30,ATL,PHX,1587,4,25,0,NA,0,NA,NA,NA,NA,NA
2000,1,27,4,826,826,1051,1039,HP,2027,N646AW,265,253,236,12,0,ATL,PHX,1587,6,23,0,NA,0,NA,NA,NA,NA,NA
2000,1,28,5,835,826,1103,1039,HP,2027,N636AW,268,253,248,24,9,ATL,PHX,1587,5,15,0,NA,0,NA,NA,NA,NA,NA
2000,1,31,1,838,826,1041,1039,HP,2027,N643AW,243,253,224,2,12,ATL,PHX,1587,5,14,0,NA,0,NA,NA,NA,NA,NA
2000,1,1,6,1935,1935,2140,2145,HP,2194,N809AW,245,250,230,-5,0,ATL,PHX,1587,5,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,8,6,839,826,1053,1039,HP,2836,N631AW,254,253,233,14,13,ATL,PHX,1587,7,14,0,NA,0,NA,NA,NA,NA,NA
2000,1,9,7,830,826,1045,1039,HP,2836,N810AW,255,253,235,6,4,ATL,PHX,1587,5,15,0,NA,0,NA,NA,NA,NA,NA
2000,1,15,6,838,826,1050,1039,HP,2836,N801AW,252,253,225,11,12,ATL,PHX,1587,5,22,0,NA,0,NA,NA,NA,NA,NA
2000,1,16,7,850,826,1058,1039,HP,2836,N801AW,248,253,212,19,24,ATL,PHX,1587,5,31,0,NA,0,NA,NA,NA,NA,NA
2000,1,22,6,826,826,1041,1039,HP,2836,N640AW,255,253,234,2,0,ATL,PHX,1587,7,14,0,NA,0,NA,NA,NA,NA,NA
2000,1,23,7,839,826,1117,1039,HP,2836,N804AW,278,253,243,38,13,ATL,PHX,1587,3,32,0,NA,0,NA,NA,NA,NA,NA
2000,1,29,6,910,826,1130,1039,HP,2836,N805AW,260,253,235,51,44,ATL,PHX,1587,8,17,0,NA,0,NA,NA,NA,NA,NA
2000,1,30,7,836,826,1254,1039,HP,2836,N810AW,378,253,226,135,10,ATL,PHX,1587,8,144,0,NA,0,NA,NA,NA,NA,NA
2000,1,1,6,1727,1731,1850,1854,HP,154,N801AW,143,143,127,-4,-4,AUS,PHX,872,7,9,0,NA,0,NA,NA,NA,NA,NA
2000,1,2,7,1731,1731,1858,1854,HP,154,N646AW,147,143,130,4,0,AUS,PHX,872,6,11,0,NA,0,NA,NA,NA,NA,NA
2000,1,3,1,1731,1731,1906,1854,HP,154,N801AW,155,143,137,12,0,AUS,PHX,872,8,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,2,7,1500,1453,1636,1619,HP,224,N328AW,156,146,139,17,7,AUS,PHX,872,8,9,0,NA,0,NA,NA,NA,NA,NA
2000,1,3,1,1450,1453,1628,1619,HP,224,N180AW,158,146,145,9,-3,AUS,PHX,872,5,8,0,NA,0,NA,NA,NA,NA,NA
2000,1,4,2,NA,1731,NA,1853,HP,226,N914AW,NA,142,NA,NA,NA,AUS,PHX,872,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,1,5,3,1728,1731,1853,1853,HP,226,N316AW,145,142,136,0,-3,AUS,PHX,872,3,6,0,NA,0,NA,NA,NA,NA,NA
2000,1,6,4,1745,1731,1913,1853,HP,226,N313AW,148,142,133,20,14,AUS,PHX,872,5,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,7,5,1727,1731,1845,1853,HP,226,N311AW,138,142,120,-8,-4,AUS,PHX,872,5,13,0,NA,0,NA,NA,NA,NA,NA
2000,1,9,7,1730,1731,1855,1853,HP,226,N157AW,145,142,126,2,-1,AUS,PHX,872,10,9,0,NA,0,NA,NA,NA,NA,NA
2000,1,10,1,1727,1731,1856,1853,HP,226,N169AW,149,142,131,3,-4,AUS,PHX,872,9,9,0,NA,0,NA,NA,NA,NA,NA
2000,1,11,2,NA,1731,NA,1853,HP,226,N336AW,NA,142,NA,NA,NA,AUS,PHX,872,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,1,12,3,1730,1731,1848,1853,HP,226,N167AW,138,142,117,-5,-1,AUS,PHX,872,13,8,0,NA,0,NA,NA,NA,NA,NA
2000,1,13,4,1731,1731,1909,1853,HP,226,N316AW,158,142,125,16,0,AUS,PHX,872,8,25,0,NA,0,NA,NA,NA,NA,NA
2000,1,14,5,NA,1731,NA,1853,HP,226,N336AW,NA,142,NA,NA,NA,AUS,PHX,872,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,1,16,7,1731,1731,1847,1853,HP,226,N327AW,136,142,118,-6,0,AUS,PHX,872,10,8,0,NA,0,NA,NA,NA,NA,NA
2000,1,17,1,1728,1731,1851,1853,HP,226,N328AW,143,142,123,-2,-3,AUS,PHX,872,8,12,0,NA,0,NA,NA,NA,NA,NA
2000,1,18,2,1730,1731,1850,1853,HP,226,N158AW,140,142,125,-3,-1,AUS,PHX,872,7,8,0,NA,0,NA,NA,NA,NA,NA
2000,1,19,3,1727,1731,1902,1853,HP,226,N328AW,155,142,129,9,-4,AUS,PHX,872,17,9,0,NA,0,NA,NA,NA,NA,NA
2000,1,20,4,1735,1731,1901,1853,HP,226,N336AW,146,142,130,8,4,AUS,PHX,872,6,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,21,5,1728,1731,1900,1853,HP,226,N314AW,152,142,133,7,-3,AUS,PHX,872,5,14,0,NA,0,NA,NA,NA,NA,NA
2000,1,23,7,1730,1731,1858,1853,HP,226,N164AW,148,142,134,5,-1,AUS,PHX,872,6,8,0,NA,0,NA,NA,NA,NA,NA
2000,1,24,1,1727,1731,1845,1853,HP,226,N168AW,138,142,127,-8,-4,AUS,PHX,872,6,5,0,NA,0,NA,NA,NA,NA,NA
2000,1,25,2,1727,1731,1844,1853,HP,226,N166AW,137,142,125,-9,-4,AUS,PHX,872,5,7,0,NA,0,NA,NA,NA,NA,NA
2000,1,26,3,1730,1731,1908,1853,HP,226,N305AW,158,142,140,15,-1,AUS,PHX,872,8,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,27,4,1731,1731,1902,1853,HP,226,N168AW,151,142,133,9,0,AUS,PHX,872,8,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,28,5,1730,1731,1908,1853,HP,226,N156AW,158,142,140,15,-1,AUS,PHX,872,8,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,30,7,1727,1731,1852,1853,HP,226,N326AW,145,142,129,-1,-4,AUS,PHX,872,8,8,0,NA,0,NA,NA,NA,NA,NA
2000,1,31,1,1727,1731,1904,1853,HP,226,N311AW,157,142,145,11,-4,AUS,PHX,872,5,7,0,NA,0,NA,NA,NA,NA,NA
2000,1,1,6,2010,2014,2132,2142,HP,228,N335AW,142,148,128,-10,-4,AUS,PHX,872,5,9,0,NA,0,NA,NA,NA,NA,NA
2000,1,2,7,2013,2014,2148,2142,HP,228,N184AW,155,148,137,6,-1,AUS,PHX,872,8,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,3,1,NA,2014,NA,2142,HP,228,N914AW,NA,148,NA,NA,NA,AUS,PHX,872,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,1,4,2,2010,2014,2133,2141,HP,228,N184AW,143,147,127,-8,-4,AUS,PHX,872,8,8,0,NA,0,NA,NA,NA,NA,NA
2000,1,5,3,2010,2014,2130,2141,HP,228,N186AW,140,147,129,-11,-4,AUS,PHX,872,4,7,0,NA,0,NA,NA,NA,NA,NA
2000,1,6,4,2010,2014,2144,2141,HP,228,N332AW,154,147,136,3,-4,AUS,PHX,872,5,13,0,NA,0,NA,NA,NA,NA,NA
2000,1,7,5,NA,2014,NA,2141,HP,228,N180AW,NA,147,NA,NA,NA,AUS,PHX,872,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,1,9,7,2014,2014,2141,2141,HP,228,N186AW,147,147,131,0,0,AUS,PHX,872,8,8,0,NA,0,NA,NA,NA,NA,NA
2000,1,10,1,NA,2014,NA,2141,HP,228,N180AW,NA,147,NA,NA,NA,AUS,PHX,872,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,1,11,2,2011,2014,2117,2141,HP,228,N328AW,126,147,116,-24,-3,AUS,PHX,872,4,6,0,NA,0,NA,NA,NA,NA,NA
2000,1,12,3,2011,2014,2133,2141,HP,228,N185AW,142,147,127,-8,-3,AUS,PHX,872,7,8,0,NA,0,NA,NA,NA,NA,NA
2000,1,13,4,2010,2014,2145,2141,HP,228,N184AW,155,147,125,4,-4,AUS,PHX,872,20,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,14,5,2014,2014,2154,2141,HP,228,N138AW,160,147,128,13,0,AUS,PHX,872,21,11,0,NA,0,NA,NA,NA,NA,NA
2000,1,16,7,2012,2014,2130,2141,HP,228,N189AW,138,147,123,-11,-2,AUS,PHX,872,5,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,17,1,2013,2014,2129,2141,HP,228,N181AW,136,147,121,-12,-1,AUS,PHX,872,11,4,0,NA,0,NA,NA,NA,NA,NA
2000,1,18,2,2046,2014,2220,2141,HP,228,N149AW,154,147,128,39,32,AUS,PHX,872,10,16,0,NA,0,NA,NA,NA,NA,NA
2000,1,19,3,2012,2014,2140,2141,HP,228,N149AW,148,147,129,-1,-2,AUS,PHX,872,10,9,0,NA,0,NA,NA,NA,NA,NA
2000,1,20,4,2010,2014,2143,2141,HP,228,N189AW,153,147,133,2,-4,AUS,PHX,872,6,14,0,NA,0,NA,NA,NA,NA,NA
2000,1,21,5,2014,2014,2136,2141,HP,228,N183AW,142,147,123,-5,0,AUS,PHX,872,6,13,0,NA,0,NA,NA,NA,NA,NA
2000,1,23,7,2022,2014,2150,2141,HP,228,N149AW,148,147,130,9,8,AUS,PHX,872,4,14,0,NA,0,NA,NA,NA,NA,NA
2000,1,24,1,2013,2014,2140,2141,HP,228,N178AW,147,147,131,-1,-1,AUS,PHX,872,7,9,0,NA,0,NA,NA,NA,NA,NA
2000,1,25,2,2010,2014,2140,2141,HP,228,N186AW,150,147,130,-1,-4,AUS,PHX,872,10,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,26,3,2012,2014,2156,2141,HP,228,N314AW,164,147,144,15,-2,AUS,PHX,872,10,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,27,4,2028,2014,2159,2141,HP,228,N185AW,151,147,136,18,14,AUS,PHX,872,6,9,0,NA,0,NA,NA,NA,NA,NA
2000,1,28,5,2014,2014,2144,2141,HP,228,N187AW,150,147,136,3,0,AUS,PHX,872,6,8,0,NA,0,NA,NA,NA,NA,NA
2000,1,30,7,2012,2014,2134,2141,HP,228,N149AW,142,147,130,-7,-2,AUS,PHX,872,5,7,0,NA,0,NA,NA,NA,NA,NA
2000,1,31,1,2010,2014,2153,2141,HP,228,N183AW,163,147,142,12,-4,AUS,PHX,872,11,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,2,7,936,930,1124,1100,HP,2286,N183AW,168,150,156,24,6,AUS,PHX,872,4,8,0,NA,0,NA,NA,NA,NA,NA
2000,1,3,1,927,930,1100,1100,HP,2286,N149AW,153,150,137,0,-3,AUS,PHX,872,8,8,0,NA,0,NA,NA,NA,NA,NA
2000,1,4,2,921,921,1046,1051,HP,2286,N187AW,145,150,129,-5,0,AUS,PHX,872,7,9,0,NA,0,NA,NA,NA,NA,NA
2000,1,5,3,NA,921,NA,1051,HP,2286,UNKNOW,NA,150,NA,NA,NA,AUS,PHX,872,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,1,6,4,921,921,1051,1051,HP,2286,N184AW,150,150,136,0,0,AUS,PHX,872,6,8,0,NA,0,NA,NA,NA,NA,NA
2000,1,7,5,921,921,1044,1051,HP,2286,N325AW,143,150,128,-7,0,AUS,PHX,872,5,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,9,7,939,921,1107,1051,HP,2286,N323AW,148,150,135,16,18,AUS,PHX,872,5,8,0,NA,0,NA,NA,NA,NA,NA
2000,1,10,1,921,921,1100,1051,HP,2286,N187AW,159,150,134,9,0,AUS,PHX,872,15,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,11,2,918,921,1047,1051,HP,2286,N183AW,149,150,130,-4,-3,AUS,PHX,872,9,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,12,3,919,921,1040,1051,HP,2286,N182AW,141,150,124,-11,-2,AUS,PHX,872,7,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,13,4,918,921,1043,1051,HP,2286,N183AW,145,150,130,-8,-3,AUS,PHX,872,5,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,14,5,921,921,1052,1051,HP,2286,N156AW,151,150,133,1,0,AUS,PHX,872,7,11,0,NA,0,NA,NA,NA,NA,NA
2000,1,16,7,921,921,1045,1051,HP,2286,N182AW,144,150,132,-6,0,AUS,PHX,872,4,8,0,NA,0,NA,NA,NA,NA,NA
2000,1,17,1,918,921,1044,1051,HP,2286,N149AW,146,150,131,-7,-3,AUS,PHX,872,6,9,0,NA,0,NA,NA,NA,NA,NA
2000,1,18,2,918,921,1043,1051,HP,2286,N182AW,145,150,127,-8,-3,AUS,PHX,872,7,11,0,NA,0,NA,NA,NA,NA,NA
2000,1,19,3,921,921,1043,1051,HP,2286,N178AW,142,150,128,-8,0,AUS,PHX,872,8,6,0,NA,0,NA,NA,NA,NA,NA
2000,1,20,4,920,921,1054,1051,HP,2286,N180AW,154,150,138,3,-1,AUS,PHX,872,6,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,21,5,917,921,1042,1051,HP,2286,N182AW,145,150,127,-9,-4,AUS,PHX,872,7,11,0,NA,0,NA,NA,NA,NA,NA
2000,1,23,7,917,921,1050,1051,HP,2286,N304AW,153,150,136,-1,-4,AUS,PHX,872,5,12,0,NA,0,NA,NA,NA,NA,NA
2000,1,24,1,917,921,1110,1051,HP,2286,N173AW,173,150,144,19,-4,AUS,PHX,872,10,19,0,NA,0,NA,NA,NA,NA,NA
2000,1,25,2,917,921,1051,1051,HP,2286,N158AW,154,150,137,0,-4,AUS,PHX,872,6,11,0,NA,0,NA,NA,NA,NA,NA
2000,1,26,3,921,921,1053,1051,HP,2286,N178AW,152,150,139,2,0,AUS,PHX,872,5,8,0,NA,0,NA,NA,NA,NA,NA
2000,1,27,4,919,921,1057,1051,HP,2286,N138AW,158,150,140,6,-2,AUS,PHX,872,9,9,0,NA,0,NA,NA,NA,NA,NA
2000,1,28,5,918,921,1110,1051,HP,2286,N182AW,172,150,153,19,-3,AUS,PHX,872,6,13,0,NA,0,NA,NA,NA,NA,NA
2000,1,30,7,921,921,1104,1051,HP,2286,N184AW,163,150,139,13,0,AUS,PHX,872,6,18,0,NA,0,NA,NA,NA,NA,NA
2000,1,31,1,917,921,1105,1051,HP,2286,N189AW,168,150,150,14,-4,AUS,PHX,872,9,9,0,NA,0,NA,NA,NA,NA,NA
2000,1,1,6,1453,1453,1618,1619,HP,2476,N325AW,145,146,128,-1,0,AUS,PHX,872,6,11,0,NA,0,NA,NA,NA,NA,NA
2000,1,8,6,NA,1453,NA,1619,HP,2623,N189AW,NA,146,NA,NA,NA,AUS,PHX,872,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,1,15,6,1450,1453,1625,1619,HP,2623,N169AW,155,146,129,6,-3,AUS,PHX,872,13,13,0,NA,0,NA,NA,NA,NA,NA
2000,1,22,6,1450,1453,1635,1619,HP,2623,N158AW,165,146,147,16,-3,AUS,PHX,872,4,14,0,NA,0,NA,NA,NA,NA,NA
2000,1,29,6,1912,1453,2055,1619,HP,2623,N312AW,163,146,147,276,259,AUS,PHX,872,4,12,0,NA,0,NA,NA,NA,NA,NA
2000,1,2,7,627,627,759,755,HP,2632,N186AW,152,148,137,4,0,AUS,PHX,872,5,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,3,1,625,627,800,755,HP,2632,N178AW,155,148,140,5,-2,AUS,PHX,872,5,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,4,2,628,627,759,754,HP,2632,N327AW,151,147,132,5,1,AUS,PHX,872,6,13,0,NA,0,NA,NA,NA,NA,NA
2000,1,5,3,626,627,757,754,HP,2632,N181AW,151,147,135,3,-1,AUS,PHX,872,7,9,0,NA,0,NA,NA,NA,NA,NA
2000,1,6,4,625,627,748,754,HP,2632,N149AW,143,147,128,-6,-2,AUS,PHX,872,8,7,0,NA,0,NA,NA,NA,NA,NA
2000,1,7,5,627,627,753,754,HP,2632,N138AW,146,147,125,-1,0,AUS,PHX,872,8,13,0,NA,0,NA,NA,NA,NA,NA
2000,1,8,6,629,627,800,754,HP,2632,N160AW,151,147,130,6,2,AUS,PHX,872,6,15,0,NA,0,NA,NA,NA,NA,NA
2000,1,9,7,627,627,756,754,HP,2632,N509DC,149,147,132,2,0,AUS,PHX,872,6,11,0,NA,0,NA,NA,NA,NA,NA
2000,1,10,1,650,627,813,754,HP,2632,N182AW,143,147,129,19,23,AUS,PHX,872,6,8,0,NA,0,NA,NA,NA,NA,NA
2000,1,11,2,627,627,752,754,HP,2632,N138AW,145,147,129,-2,0,AUS,PHX,872,7,9,0,NA,0,NA,NA,NA,NA,NA
2000,1,12,3,627,627,751,754,HP,2632,N184AW,144,147,129,-3,0,AUS,PHX,872,4,11,0,NA,0,NA,NA,NA,NA,NA
2000,1,13,4,638,627,758,754,HP,2632,N182AW,140,147,129,4,11,AUS,PHX,872,4,7,0,NA,0,NA,NA,NA,NA,NA
2000,1,14,5,623,627,747,754,HP,2632,N183AW,144,147,125,-7,-4,AUS,PHX,872,7,12,0,NA,0,NA,NA,NA,NA,NA
2000,1,15,6,626,627,753,754,HP,2632,N164AW,147,147,123,-1,-1,AUS,PHX,872,10,14,0,NA,0,NA,NA,NA,NA,NA
2000,1,16,7,624,627,745,754,HP,2632,N167AW,141,147,127,-9,-3,AUS,PHX,872,5,9,0,NA,0,NA,NA,NA,NA,NA
2000,1,17,1,626,627,749,754,HP,2632,N314AW,143,147,125,-5,-1,AUS,PHX,872,5,13,0,NA,0,NA,NA,NA,NA,NA
2000,1,18,2,623,627,740,754,HP,2632,N138AW,137,147,122,-14,-4,AUS,PHX,872,5,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,19,3,623,627,745,754,HP,2632,N157AW,142,147,128,-9,-4,AUS,PHX,872,6,8,0,NA,0,NA,NA,NA,NA,NA
2000,1,20,4,625,627,751,754,HP,2632,N185AW,146,147,129,-3,-2,AUS,PHX,872,6,11,0,NA,0,NA,NA,NA,NA,NA
2000,1,21,5,627,627,753,754,HP,2632,N313AW,146,147,129,-1,0,AUS,PHX,872,7,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,22,6,627,627,802,754,HP,2632,N509DC,155,147,136,8,0,AUS,PHX,872,6,13,0,NA,0,NA,NA,NA,NA,NA
2000,1,23,7,632,627,804,754,HP,2632,N189AW,152,147,138,10,5,AUS,PHX,872,4,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,24,1,625,627,755,754,HP,2632,N181AW,150,147,132,1,-2,AUS,PHX,872,7,11,0,NA,0,NA,NA,NA,NA,NA
